NAME	TITLE	SCORE	
FCHSD1	FCH and double SH3 domains 1 [Source:HGNC Symbol;Acc:HGNC:25463]	0.20202646	
OTUD3	OTU deubiquitinase 3 [Source:HGNC Symbol;Acc:HGNC:29038]	0.20131384	
LENG8	leukocyte receptor cluster member 8 [Source:HGNC Symbol;Acc:HGNC:15500]	0.20109624	
GPCPD1	glycerophosphocholine phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:26957]	0.2010489	
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]	0.20087105	
EGR4	early growth response 4 [Source:HGNC Symbol;Acc:HGNC:3241]	0.20074558	
ZNF251	zinc finger protein 251 [Source:HGNC Symbol;Acc:HGNC:13045]	0.2004652	
HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	0.20029953	
KIAA1210	KIAA1210 [Source:HGNC Symbol;Acc:HGNC:29218]	0.2002363	
FBXO34	F-box protein 34 [Source:HGNC Symbol;Acc:HGNC:20201]	0.20016767	
TAS2R5	taste 2 receptor member 5 [Source:HGNC Symbol;Acc:HGNC:14912]	0.20014046	
SYCE1L	synaptonemal complex central element protein 1 like [Source:HGNC Symbol;Acc:HGNC:37236]	0.19996497	
KCNJ12	potassium inwardly rectifying channel subfamily J member 12 [Source:HGNC Symbol;Acc:HGNC:6258]	0.19958209	
KREMEN2	kringle containing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:18797]	0.19954942	
LINC02897	long intergenic non-protein coding RNA 2897 [Source:HGNC Symbol;Acc:HGNC:33759]	0.19942908	
TICAM2	TIR domain containing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:21354]	0.19937162	
SPINK13	serine peptidase inhibitor Kazal type 13 [Source:HGNC Symbol;Acc:HGNC:27200]	0.19930986	
TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	0.19915195	
MTRF1	mitochondrial translation release factor 1 [Source:HGNC Symbol;Acc:HGNC:7469]	0.19904177	
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10261]	0.19900984	
CSPG4	chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]	0.1989211	
TSSK4	testis specific serine kinase 4 [Source:HGNC Symbol;Acc:HGNC:19825]	0.19866271	
PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	0.19862	
EHBP1-AS1	EHBP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55766]	0.19852504	
CCNB1IP1	cyclin B1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:19437]	0.19835274	
PNN	pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]	0.19828288	
SRSF5	serine and arginine rich splicing factor 5 [Source:HGNC Symbol;Acc:HGNC:10787]	0.19813144	
TPBG	trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]	0.19779438	
DNAH1	dynein axonemal heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2940]	0.19753158	
SYNPO2L	synaptopodin 2 like [Source:HGNC Symbol;Acc:HGNC:23532]	0.19746608	
IL20RB	interleukin 20 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6004]	0.19745111	
TENT2	terminal nucleotidyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:26776]	0.19682284	
TAS2R20	taste 2 receptor member 20 [Source:HGNC Symbol;Acc:HGNC:19109]	0.1964615	
RNASET2	ribonuclease T2 [Source:HGNC Symbol;Acc:HGNC:21686]	0.19644217	
ZNF350	zinc finger protein 350 [Source:HGNC Symbol;Acc:HGNC:16656]	0.19629472	
ATG16L2	autophagy related 16 like 2 [Source:HGNC Symbol;Acc:HGNC:25464]	0.19619393	
NKPD1	NTPase KAP family P-loop domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24739]	0.19615993	
ZNF738	zinc finger protein 738 [Source:HGNC Symbol;Acc:HGNC:32469]	0.19602428	
DHRS1	dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445]	0.19563124	
VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	0.19541053	
GRIPAP1	GRIP1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18706]	0.19528256	
TNS4	tensin 4 [Source:HGNC Symbol;Acc:HGNC:24352]	0.19527437	
TTYH3	tweety family member 3 [Source:HGNC Symbol;Acc:HGNC:22222]	0.19518693	
RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]	0.19491112	
TSC22D1	TSC22 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:16826]	0.19469121	
TTC16	tetratricopeptide repeat domain 16 [Source:HGNC Symbol;Acc:HGNC:26536]	0.19436811	
ANKRD36B	ankyrin repeat domain 36B [Source:HGNC Symbol;Acc:HGNC:29333]	0.19399749	
SPATA12	spermatogenesis associated 12 [Source:HGNC Symbol;Acc:HGNC:23221]	0.19395778	
TSSK6	testis specific serine kinase 6 [Source:HGNC Symbol;Acc:HGNC:30410]	0.19391623	
MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:6884]	0.19390729	
AATBC	apoptosis associated transcript in bladder cancer [Source:HGNC Symbol;Acc:HGNC:51526]	0.19380365	
ZNF714	zinc finger protein 714 [Source:HGNC Symbol;Acc:HGNC:27124]	0.19378634	
