NAME	TITLE	SCORE	
CTXN2	cortexin 2 [Source:HGNC Symbol;Acc:HGNC:31109]	0.21049768	
PCM1	pericentriolar material 1 [Source:HGNC Symbol;Acc:HGNC:8727]	0.20966797	
MEIS2	Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]	0.20861804	
FGF7P3	fibroblast growth factor 7 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:26671]	0.20858763	
PON3	paraoxonase 3 [Source:HGNC Symbol;Acc:HGNC:9206]	0.20798549	
A1CF	APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]	0.20795275	
FCGBP	Fc gamma binding protein [Source:HGNC Symbol;Acc:HGNC:13572]	0.2078915	
APOO	apolipoprotein O [Source:HGNC Symbol;Acc:HGNC:28727]	0.20773208	
TMEM229A	transmembrane protein 229A [Source:HGNC Symbol;Acc:HGNC:37279]	0.20753348	
ATAD3C	ATPase family AAA domain containing 3C [Source:HGNC Symbol;Acc:HGNC:32151]	0.2074476	
TMEM151B	transmembrane protein 151B [Source:HGNC Symbol;Acc:HGNC:21315]	0.20729733	
REG3A	regenerating family member 3 alpha [Source:HGNC Symbol;Acc:HGNC:8601]	0.20728862	
CPLX1	complexin 1 [Source:HGNC Symbol;Acc:HGNC:2309]	0.20722044	
PRDM10-DT	PRDM10 divergent transcript [Source:HGNC Symbol;Acc:HGNC:30468]	0.20719518	
GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	0.20676346	
EN2	engrailed homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3343]	0.20667563	
VSIG10	V-set and immunoglobulin domain containing 10 [Source:HGNC Symbol;Acc:HGNC:26078]	0.20667273	
RALYL	RALY RNA binding protein like [Source:HGNC Symbol;Acc:HGNC:27036]	0.20636337	
TEX15	testis expressed 15, meiosis and synapsis associated [Source:HGNC Symbol;Acc:HGNC:11738]	0.20608753	
RGN	regucalcin [Source:HGNC Symbol;Acc:HGNC:9989]	0.20586406	
